Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787657992,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787657993,5,GET,/feed,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,350,384.1549689987005,282.83195800031535,466.3453339962871,3908.0
1787657993,5,POST,/follow,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,62.31554099940695,62.31554099940695,62.31554099940695,62.31554099940695,17.0
1787657993,5,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,350,319.7870833988418,62.31554099940695,466.3453339962871,3129.8
1787657994,10,GET,/feed,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,0,72,220.72465650035156,51.24183400039328,466.3453339962871,3908.0
1787657994,10,POST,/follow,0.000000,0.000000,62,62,62,62,62,62,62,62,62,62,62,1,0,62.31554099940695,62.31554099940695,62.31554099940695,62.31554099940695,17.0
1787657994,10,POST,/posts,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,56,44.15048599912552,18.10762500099372,58.48695799795678,169.0
1787657994,10,,Aggregated,0.000000,0.000000,58,280,350,350,440,470,470,470,470,470,470,12,0,58,163.38035424996633,18.10762500099372,466.3453339962871,2649.0
1787657995,10,GET,/feed,0.000000,0.000000,44,52,54,54,72,72,72,72,72,72,72,13,0,52,148.35637838349123,20.945124997524545,466.3453339962871,3908.0
1787657995,10,POST,/follow,1.000000,0.000000,62,62,62,62,62,62,62,62,62,62,62,1,0,62.31554099940695,62.31554099940695,62.31554099940695,62.31554099940695,17.0
1787657995,10,POST,/posts,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,3,0,56,44.15048599912552,18.10762500099372,58.48695799795678,169.0
1787657995,10,,Aggregated,1.000000,0.000000,54,58,280,280,440,470,470,470,470,470,470,17,0,54,124.90587752836291,18.10762500099372,466.3453339962871,3019.294117647059
1787657996,10,GET,/feed,3.000000,0.000000,42,46,52,52,54,72,72,72,72,72,72,17,0,51,123.29091188140035,20.945124997524545,466.3453339962871,3908.0
